rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link
1,"1-комн. апарт., 37,68 м², 11/21 этаж",Секция 1 • Сдача корпуса 4 кв. 2023,Зорге,13 минут пешком,Москва,САО,р-н Хорошевский,улица Зорге,9,16 306 920 ₽,https://www.cian.ru/sale/flat/282823533/
1,"1-комн. кв., 35 м², 4/9 этаж",,Коптево,13 минут пешком,Москва,САО,р-н Коптево,бульвар Матроса Железняка,19,9 800 000 ₽,https://www.cian.ru/sale/flat/287331723/
1,"1-комн. апарт., 37,6 м², 3/8 этаж",Секция 1 • Сдача корпуса 2 кв. 2024,Петровский Парк,5 минут пешком,Москва,САО,р-н Савеловский,улица Верхняя Масловка,20,16 865 700 ₽,https://www.cian.ru/sale/flat/277372832/
1,"1-комн. апарт., 35,6 м², 2/22 этаж",,Селигерская,13 минут пешком,Москва,САО,р-н Западное Дегунино,Дегунинская улица,9к1,9 250 000 ₽,https://www.cian.ru/sale/flat/287505997/
1,"1-комн. кв., 36,22 м², 15/54 этаж",Секция 1 • Сдача корпуса 2 кв. 2025,Дмитровская,5 минут пешком,Москва,САО,р-н Савеловский,2-я Хуторская улица,34,16 929 091 ₽,https://www.cian.ru/sale/flat/288222211/
1,"1-комн. апарт., 29,7 м², 5/5 этаж",,Беговая,8 минут пешком,Москва,САО,р-н Хорошевский,Хорошевское шоссе,38,9 865 152 ₽,https://www.cian.ru/sale/flat/287976213/
1,"1-комн. кв., 42,1 м², 25/32 этаж",Секция 2 • Сдача корпуса 3 кв. 2023,Водный стадион,9 минут пешком,Москва,САО,р-н Головинский,Кронштадтский бульвар,к1/6,16 984 474 ₽,https://www.cian.ru/sale/flat/279627164/
1,"1-комн. кв., 41 м², 13/42 этаж",,Аэропорт,13 минут пешком,Москва,САО,р-н Хорошевский,Ленинградский проспект,37/3,24 990 000 ₽,https://www.cian.ru/sale/flat/288474263/
1,"1-комн. кв., 37,31 м², 3/54 этаж",Секция 1 • Сдача корпуса 2 кв. 2025,Дмитровская,5 минут пешком,Москва,САО,р-н Савеловский,2-я Хуторская улица,34,17 161 867 ₽,https://www.cian.ru/sale/flat/288222114/
1,"1-комн. кв., 43,1 м², 14/17 этаж",,Ховрино,7 минут на транспорте,Москва,САО,р-н Западное Дегунино,6к2,,11 450 000 ₽,https://www.cian.ru/sale/flat/287684696/
1,"1-комн. кв., 45,9 м², 11/32 этаж",Секция 1 • Сдача корпуса 3 кв. 2025,Верхние Лихоборы,8 минут пешком,Москва,САО,р-н Западное Дегунино,Ильменский проезд,4С8,17 065 233 ₽,https://www.cian.ru/sale/flat/282408389/
1,"1-комн. апарт., 22,3 м², 4/6 этаж",,Войковская,20 минут пешком,Москва,САО,р-н Коптево,улица Клары Цеткин,18к3,7 136 000 ₽,https://www.cian.ru/sale/flat/287619180/
1,"1-комн. кв., 47,6 м², 12/35 этаж",Сдача корпуса 4 кв. 2023,Беломорская,7 минут пешком,Москва,САО,р-н Левобережный,Фестивальная улица,15к25,17 182 800 ₽,https://www.cian.ru/sale/flat/288007806/
1,"1-комн. апарт., 33 м², 6/15 этаж",,ЦСКА,10 минут пешком,Москва,САО,р-н Хорошевский,Ходынский бульвар,20А,18 500 000 ₽,https://www.cian.ru/sale/flat/279125910/
1,Чистовая отделка MR Ready,Секция 1 • Сдан,Верхние Лихоборы,15 минут пешком,Москва,САО,р-н Западное Дегунино,Ильменский проезд,14к1,17 120 328 ₽,https://www.cian.ru/sale/flat/285856925/
1,"1-комн. кв., 35,2 м², 10/26 этаж",,Верхние Лихоборы,8 минут пешком,Москва,САО,р-н Западное Дегунино,Дмитровское шоссе,73Б,12 940 000 ₽,https://www.cian.ru/sale/flat/288318919/
1,Жилой комплекс бизнес-класса SOUL,Сдача корпуса 3 кв. 2025,Красный Балтиец,4 минуты пешком,Москва,САО,р-н Аэропорт,Часовая улица,28к8,17 279 841 ₽,https://www.cian.ru/sale/flat/288072134/
1,"1-комн. кв., 54,9 м², 11/24 этаж",,Беговая,2 минуты на транспорте,Москва,САО,р-н Хорошевский,25Ак1,,26 900 000 ₽,https://www.cian.ru/sale/flat/287136320/
1,"1-комн. кв., 31,51 м², 2/36 этаж",Секция 1 • Сдача корпуса 2 кв. 2025,Дмитровская,8 минут пешком,Москва,САО,р-н Савеловский,Симфония 34 ЖК,,17 246 229 ₽,https://www.cian.ru/sale/flat/288221094/
1,"1-комн. кв., 34,1 м², 6/17 этаж",,Водники,14 минут на транспорте,Москва,САО,р-н Молжаниновский,Северный ао,Молжаниново ЖК,7 950 000 ₽,https://www.cian.ru/sale/flat/285464358/
1,"1-комн. кв., 42 м², 32/33 этаж",Секция 2 • Сдача корпуса 3 кв. 2023,Водный стадион,11 минут пешком,Москва,САО,р-н Головинский,Кронштадтский 14 ЖК,к1.4,17 518 277 ₽,https://www.cian.ru/sale/flat/281172149/
1,"1-комн. кв., 43,1 м², 14/33 этаж",,Ховрино,6 минут на транспорте,Москва,САО,р-н Западное Дегунино,Бусиновский Парк ЖК,1.2,11 000 000 ₽,https://www.cian.ru/sale/flat/288324723/
1,"1-комн. кв., 35,77 м², 14/28 этаж",Секция 3 • Сдача корпуса 1 кв. 2024,Бутырская,10 минут пешком,Москва,СВАО,р-н Марфино,улица Академика Королева,21,16 870 000 ₽,https://www.cian.ru/sale/flat/286447505/
1,"1-комн. апарт., 38,5 м², 6/20 этаж",,Алексеевская,12 минут пешком,Москва,СВАО,р-н Алексеевский,Новоалексеевская улица,16к4,16 500 000 ₽,https://www.cian.ru/sale/flat/285754476/
1,Скидки на квартиры в готовом доме,Сдан,Свиблово,7 минут на транспорте,Москва,СВАО,р-н Ярославский,улица Красная Сосна,3,16 703 239 ₽,https://www.cian.ru/sale/flat/288639066/
1,"1-комн. апарт., 19 м², 6/6 этаж",,Окружная,2 минуты пешком,Москва,СВАО,р-н Марфино,Гостиничный проезд,8К1,6 000 000 ₽,https://www.cian.ru/sale/flat/287152155/
1,Скидки на квартиры в готовом доме,Сдан,Свиблово,7 минут на транспорте,Москва,СВАО,р-н Ярославский,улица Красная Сосна,3А,16 747 052 ₽,https://www.cian.ru/sale/flat/288762288/
1,"1-комн. кв., 45 м², 2/5 этаж",,Ростокино,9 минут пешком,Москва,СВАО,р-н Ростокино,проспект Мира,183,14 500 000 ₽,https://www.cian.ru/sale/flat/288882086/
1,"1-комн. кв., 46 м², 3/14 этаж",Секция 10 • Сдача корпуса 3 кв. 2023,Отрадное,19 минут пешком,Москва,СВАО,р-н Останкинский,Грин Парк ЖК,8,16 868 297 ₽,https://www.cian.ru/sale/flat/287560379/
1,"1-комн. кв., 39,6 м², 16/21 этаж",,Телецентр,12 минут пешком,Москва,СВАО,р-н Марфино,улица Академика Королева,,17 300 000 ₽,https://www.cian.ru/sale/flat/285031880/
1,"1-комн. кв., 40,36 м², 2/31 этаж",Сдача корпуса 1 кв. 2024,Владыкино,17 минут пешком,Москва,СВАО,р-н Марфино,Вери ЖК,к2,16 729 220 ₽,https://www.cian.ru/sale/flat/288831508/
1,"1-комн. кв., 25 м², 20/22 этаж",,Свиблово,6 минут на транспорте,Москва,СВАО,р-н Ярославский,улица Красная Сосна,3,9 499 000 ₽,https://www.cian.ru/sale/flat/281954320/
1,Скидки на квартиры в готовом доме,Сдан,Свиблово,6 минут на транспорте,Москва,СВАО,р-н Ярославский,улица Красная Сосна,3,17 392 695 ₽,https://www.cian.ru/sale/flat/288638963/
1,"1-комн. кв., 34,9 м², 8/14 этаж",,Медведково,6 минут на транспорте,Москва,СВАО,р-н Лосиноостровский,Челюскинская улица,12,11 000 000 ₽,https://www.cian.ru/sale/flat/278460485/
1,"1-комн. кв., 51,1 м², 5/27 этаж",Сдан,Алексеевская,9 минут пешком,Москва,СВАО,р-н Алексеевский,Староалексеевская улица,5А,17 730 000 ₽,https://www.cian.ru/sale/flat/283856139/
1,"1-комн. кв., 35,2 м², 3/9 этаж",,Отрадное,10 минут пешком,Москва,СВАО,р-н Отрадное,улица Бестужевых,12Г,10 000 000 ₽,https://www.cian.ru/sale/flat/288417011/
1,"1-комн. кв., 38,07 м², 3/26 этаж",Секция 6 • Сдача корпуса 1 кв. 2024,Бутырская,10 минут пешком,Москва,СВАО,р-н Марфино,улица Академика Королева,21,17 620 000 ₽,https://www.cian.ru/sale/flat/286448107/
1,"1-комн. апарт., 32 м², 12/18 этаж",,Ботанический сад,4 минуты на транспорте,Москва,СВАО,р-н Останкинский,Легендарный квартал ЖК,к1,9 500 000 ₽,https://www.cian.ru/sale/flat/287979729/
1,"1-комн. кв., 36,74 м², 23/26 этаж",Секция 6 • Сдача корпуса 1 кв. 2024,Бутырская,10 минут пешком,Москва,СВАО,р-н Марфино,улица Академика Королева,21,17 790 000 ₽,https://www.cian.ru/sale/flat/286448211/
1,"1-комн. кв., 43,5 м², 8/55 этаж",,Рижская,14 минут пешком,Москва,СВАО,р-н Марьина роща,улица 4-я Марьиной рощи,12К3,17 500 000 ₽,https://www.cian.ru/sale/flat/288419445/
1,"1-комн. кв., 49 м², 5/27 этаж",Сдан,Алексеевская,9 минут пешком,Москва,СВАО,р-н Алексеевский,Староалексеевская улица,5А,17 895 000 ₽,https://www.cian.ru/sale/flat/287204377/
1,"1-комн. апарт., 37,5 м², 5/15 этаж",,Алексеевская,4 минуты пешком,Москва,СВАО,р-н Останкинский,проспект Мира,95,20 999 999 ₽,https://www.cian.ru/sale/flat/287573021/
