rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link,year_of_construction,total_meters,living_meters,kitchen_meters,floor,floors_count,flat_type,house_type,wc,ceiling,class,processed
9,"Студия, 20 м², 15/18 этаж",,Щербинка,13 минут пешком,Москва,ЮЗАО,р-н Южное Бутово,Никольские Луга ЖК,,6 300 000 ₽,https://www.cian.ru/sale/flat/288279776/,2023,20.0,-1,-1,15,18,Новостройка,Панельный,-1,-1,-1,y
9,"Студия, 21,5 м², 14/17 этаж",,Щербинка,20 минут пешком,Москва,ЮЗАО,р-н Южное Бутово,Никольские Луга ЖК,1.1,6 500 000 ₽,https://www.cian.ru/sale/flat/287670530/,2023,21.0,10.0,5.0,14,17,Новостройка,Панельный,1 совмещенный,-1,-1,y
9,"Апартаменты-студия, 11,4 м², 1/22 этаж",,Новые Черёмушки,12 минут пешком,Москва,ЮЗАО,р-н Ломоносовский,улица Гарибальди,8,3 200 000 ₽,https://www.cian.ru/sale/flat/288164138/,1994,11.0,-1,-1,1,22,Вторичка Апартаменты,Монолитный,1 совмещенный,"2,64 м",-1,y
9,"Студия, 17,7 м², 1/4 этаж",,Тульская,11 минут пешком,Москва,ЮАО,р-н Даниловский,2-я Рощинская улица,10,6 800 000 ₽,https://www.cian.ru/sale/flat/288682762/,-1,17.0,-1,-1,1,4,Вторичка,Кирпичный,-1,-1,-1,y
9,"Студия, 20,6 м², 3/16 этаж",,Улица Скобелевская,11 минут пешком,Москва,ЮЗАО,р-н Южное Бутово,улица Поляны,5Ак1,7 500 000 ₽,https://www.cian.ru/sale/flat/285428580/,2019,20.0,13.0,5.0,3,16,Вторичка,Монолитный,1 совмещенный,3 м,-1,y
9,"Студия, 22,7 м², 4/9 этаж",,Бунинская аллея,20 минут пешком,Москва,НАО (Новомосковский),м. Бунинская аллея,улица Александры Монаховой,92к1,7 500 000 ₽,https://www.cian.ru/sale/flat/287474516/,2017,22.0,10.0,6.0,4,9,Вторичка,-1,-1,-1,-1,y
9,"Студия, 19,7 м², 14/17 этаж",,Бульвар Адмирала Ушакова,9 минут на транспорте,Москва,НАО (Новомосковский),м. Бульвар Адмирала Ушакова,улица Александры Монаховой,87к5,6 600 000 ₽,https://www.cian.ru/sale/flat/289062460/,2022,19.0,10.0,-1,14,17,Вторичка,-1,1 совмещенный,-1,-1,y
9,"Апартаменты-студия, 26 м², 3/22 этаж",,Селигерская,10 минут пешком,Москва,САО,р-н Западное Дегунино,Дегунинская улица,9к1,8 000 000 ₽,https://www.cian.ru/sale/flat/288204208/,2023,26.0,18.0,-1,3,22,Вторичка Апартаменты,-1,1 совмещенный,-1,-1,y
9,"Студия, 20,7 м², 12/33 этаж",,Улица Скобелевская,11 минут пешком,Москва,ЮЗАО,р-н Южное Бутово,улица Поляны,5Ак5,8 800 000 ₽,https://www.cian.ru/sale/flat/282545098/,2021,20.0,9.0,5.0,12,33,Вторичка,-1,1 совмещенный,-1,-1,y
9,"Студия, 23,3 м², 10/17 этаж",,Бульвар Адмирала Ушакова,8 минут на транспорте,Москва,НАО (Новомосковский),м. Бульвар Адмирала Ушакова,Бунинские Луга ЖК,3.5.3,7 720 000 ₽,https://www.cian.ru/sale/flat/288582456/,-1,23.0,-1,-1,10,17,Вторичка,-1,-1,-1,-1,y
9,"Студия, 23,2 м², 9/17 этаж",,Бульвар Адмирала Ушакова,8 минут на транспорте,Москва,НАО (Новомосковский),м. Бульвар Адмирала Ушакова,улица Александры Монаховой,87к1,7 500 000 ₽,https://www.cian.ru/sale/flat/288552890/,2022,23.0,-1,-1,9,17,Вторичка,-1,-1,-1,-1,y
9,"Студия, 24 м², 6/17 этаж",,Бунинская аллея,7 минут на транспорте,Москва,НАО (Новомосковский),м. Бунинская аллея,улица Александры Монаховой,87к3,7 970 000 ₽,https://www.cian.ru/sale/flat/288584313/,2022,24.0,-1,-1,6,17,Вторичка,-1,1 совмещенный,-1,-1,y
9,"Студия, 23,1 м², 10/17 этаж",,Бунинская аллея,6 минут на транспорте,Москва,НАО (Новомосковский),м. Бунинская аллея,улица Александры Монаховой,87к2,7 500 000 ₽,https://www.cian.ru/sale/flat/288465305/,2022,23.0,-1,-1,10,17,Вторичка,-1,-1,-1,-1,y
9,"Студия, 26,4 м², 6/25 этаж",,Панфиловская,4 минуты на транспорте,Москва,СЗАО,р-н Щукино,улица Берзарина,32,9 050 000 ₽,https://www.cian.ru/sale/flat/288757896/,-1,26.0,-1,-1,6,25,Вторичка,Монолитный,-1,-1,-1,y
9,"1-комн. кв., 23 м², 12/14 этаж",,Коммунарка,20 минут пешком,Москва,НАО (Новомосковский),м. Коммунарка,проспект Куприна,32к2,6 400 000 ₽,https://www.cian.ru/sale/flat/271682765/,2021,23.0,-1,-1,12,14,Вторичка,-1,1 совмещенный,"2,7 м",-1,y
9,"2-комн. кв., 54 м², 2/17 этаж",,Бульвар Дмитрия Донского,13 минут пешком,Москва,ЮЗАО,р-н Северное Бутово,улица Грина,1К3,12 600 000 ₽,https://www.cian.ru/sale/flat/289164878/,1994,54.0,33.0,9.0,2,17,Вторичка,Монолитный,1 раздельный,"2,65 м",-1,y
9,"Студия, 20 м², 13/17 этаж",,Бунинская аллея,7 минут на транспорте,Москва,НАО (Новомосковский),м. Бунинская аллея,проспект Куприна,24к3,6 900 000 ₽,https://www.cian.ru/sale/flat/288270957/,2022,20.0,-1,-1,13,17,Вторичка,Панельный,-1,"2,65 м",-1,y
9,"Студия, 23,7 м², 2/21 этаж",Секция 2 • Сдача корпуса 1 кв. 2024,Озёрная,11 минут пешком,Москва,ЗАО,р-н Очаково-Матвеевское,Мичуринский Парк ЖК,2.5,8 598 583 ₽,https://www.cian.ru/sale/flat/281170441/,2024,23.0,11.0,6.0,2,21,Новостройка,Монолитный,1 совмещенный,"2,62 м",Комфорт,y
9,"Студия, 18,9 м², 2/25 этаж",,Говорово,14 минут пешком,Москва,ЗАО,р-н Солнцево,Домостроительная улица,14,8 500 000 ₽,https://www.cian.ru/sale/flat/282954058/,2021,18.0,10.0,3.0,2,25,Вторичка,-1,1 совмещенный,-1,-1,y
9,"Студия, 31,5 м², 13/14 этаж",,Давыдково,6 минут на транспорте,Москва,ЗАО,р-н Можайский,Сколковское шоссе,40к3,8 673 093 ₽,https://www.cian.ru/sale/flat/283162194/,2023,31.0,-1,-1,13,14,Новостройка,Монолитный,-1,"3,1 м",-1,y
9,"Апартаменты-студия, 18 м², 10/10 этаж",,Проспект Вернадского,5 минут пешком,Москва,ЗАО,р-н Проспект Вернадского,проспект Вернадского,41С1,9 700 000 ₽,https://www.cian.ru/sale/flat/286200786/,-1,18.0,9.0,4.0,10,10,Вторичка Апартаменты,Монолитный,1 совмещенный,"3,6 м",-1,y
9,"Студия, 25,49 м², 10/33 этаж",Секция 1 • Сдача корпуса 4 кв. 2024,Аминьевская,3 минуты пешком,Москва,ЗАО,р-н Очаково-Матвеевское,Матвеевский Парк ЖК,к13,8 720 129 ₽,https://www.cian.ru/sale/flat/287417957/,2024,25.0,13.0,6.0,10,33,Новостройка,Монолитный,1 совмещенный,"2,6 м",Комфорт,y
9,"Студия, 14,6 м², 4/9 этаж",,Аминьевская,18 минут пешком,Москва,ЗАО,р-н Очаково-Матвеевское,Аминьевское шоссе,5,6 850 000 ₽,https://www.cian.ru/sale/flat/288667431/,1971,14.0,6.0,3.0,4,9,Вторичка,Панельный,1 совмещенный,"2,6 м",-1,y
9,"Студия, 25,4 м², 23/33 этаж",Секция 1 • Сдача корпуса 4 кв. 2024,Аминьевская,5 минут пешком,Москва,ЗАО,р-н Очаково-Матвеевское,Большая Очаковская 2 ЖК,2.2,8 797 912 ₽,https://www.cian.ru/sale/flat/281170210/,2024,25.0,12.0,6.0,23,33,Новостройка,Монолитный,1 совмещенный,"2,62 м",-1,y
9,"Студия, 27,7 м², 25/35 этаж",,Аминьевская,7 минут пешком,Москва,ЗАО,р-н Раменки,Мосфильмовская улица,98к1,15 000 000 ₽,https://www.cian.ru/sale/flat/288721278/,2021,27.0,15.0,5.0,25,35,Вторичка,-1,1 совмещенный,"3,1 м",-1,y
9,"Апартаменты-студия, 26,5 м², 9/14 этаж",Сдача корпуса 4 кв. 2024,Давыдково,7 минут на транспорте,Москва,ЗАО,р-н Можайский,Верейская 41 ЖК,к2.2,8 751 546 ₽,https://www.cian.ru/sale/flat/285884203/,2024,26.0,14.0,4.0,9,14,Новостройка Апартаменты,Монолитный,1 совмещенный,"2,9 м",-1,y
9,"Студия, 19 м², 1/17 этаж",,Боровское шоссе,6 минут пешком,Москва,ЗАО,р-н Ново-Переделкино,Новопеределкинская улица,14К1,4 980 000 ₽,https://www.cian.ru/sale/flat/289062340/,1988,19.0,12.0,2.0,1,17,Вторичка,Монолитный,1 совмещенный,"2,7 м",-1,y
9,"Студия, 29,2 м², 2/23 этаж",,Солнцево,3 минуты пешком,Москва,ЗАО,р-н Солнцево,улица Авиаторов,1,8 803 782 ₽,https://www.cian.ru/sale/flat/289135427/,2023,29.0,16.0,-1,2,23,Новостройка,Монолитный,-1,-1,-1,y
9,"Студия, 23,4 м², 15/23 этаж",,Солнцево,5 минут пешком,Москва,ЗАО,р-н Солнцево,улица Авиаторов,1,7 800 000 ₽,https://www.cian.ru/sale/flat/287721888/,2023,23.0,13.0,5.0,15,23,Вторичка,-1,1 совмещенный,-1,-1,y
9,"Студия, 24,06 м², 3/33 этаж",Сдача корпуса 4 кв. 2024,Аминьевская,3 минуты пешком,Москва,ЗАО,р-н Очаково-Матвеевское,Матвеевский Парк ЖК,к.2.2,8 873 438 ₽,https://www.cian.ru/sale/flat/286097522/,2024,24.0,11.0,6.0,3,33,Новостройка,Монолитный,1 совмещенный,"2,62 м",Комфорт,y
9,"Апартаменты-студия, 14 м², 7/10 этаж",,Проспект Вернадского,5 минут пешком,Москва,ЗАО,р-н Проспект Вернадского,проспект Вернадского,41С1,6 500 000 ₽,https://www.cian.ru/sale/flat/287210861/,-1,14.0,-1,-1,7,10,Вторичка Апартаменты,Монолитный,1 совмещенный,3 м,-1,y
9,"Студия, 23,7 м², 15/21 этаж",Секция 1 • Сдача корпуса 1 кв. 2024,Озёрная,12 минут пешком,Москва,ЗАО,р-н Очаково-Матвеевское,Мичуринский Парк ЖК,2.3,8 880 390 ₽,https://www.cian.ru/sale/flat/288840737/,2024,23.0,11.0,6.0,15,21,Новостройка,Монолитный,1 совмещенный,"2,62 м",Комфорт,y
9,"Студия, 27,8 м², 9/41 этаж",,Мичуринский проспект,5 минут на транспорте,Москва,ЗАО,р-н Раменки,улица Лобачевского,124к2,11 000 000 ₽,https://www.cian.ru/sale/flat/282398774/,2021,27.0,14.0,4.0,9,41,Вторичка,-1,1 совмещенный,"3,1 м",-1,y
9,"Студия, 20,3 м², 30/33 этаж",Секция 1 • Сдача корпуса 4 кв. 2023,Аминьевская,3 минуты пешком,Москва,ЗАО,р-н Очаково-Матвеевское,Матвеевский Парк ЖК,к2.1,8 957 641 ₽,https://www.cian.ru/sale/flat/288566279/,2023,20.0,9.0,5.0,30,33,Новостройка,Монолитный,1 совмещенный,"2,62 м",Комфорт,y
9,"Студия, 19,4 м², 1/17 этаж",,Новопеределкино,12 минут пешком,Москва,ЗАО,р-н Ново-Переделкино,Новопеределкинская улица,14К1,4 700 000 ₽,https://www.cian.ru/sale/flat/286721278/,1988,19.0,-1,-1,1,17,Вторичка,Монолитный,1 раздельный,"2,64 м",-1,y
9,"Студия, 22,19 м², 29/33 этаж",Секция 1 • Сдача корпуса 4 кв. 2023,Аминьевская,10 минут пешком,Москва,ЗАО,р-н Очаково-Матвеевское,Матвеевский Парк ЖК,к1.1,8 986 554 ₽,https://www.cian.ru/sale/flat/286097560/,2023,22.0,10.0,5.0,29,33,Новостройка,Монолитный,1 совмещенный,"2,62 м",Комфорт,y
9,"Студия, 23,3 м², 9/32 этаж",,Аминьевская,8 минут пешком,Москва,ЗАО,р-н Очаково-Матвеевское,Большая Очаковская улица,2,10 500 000 ₽,https://www.cian.ru/sale/flat/286892764/,2022,23.0,11.0,5.0,9,32,Вторичка,-1,1 совмещенный,"2,62 м",-1,y
9,"Апартаменты-студия, 25,2 м², 2/14 этаж",Сдача корпуса 4 кв. 2024,Давыдково,7 минут на транспорте,Москва,ЗАО,р-н Можайский,Верейская 41 ЖК,к4.2,9 042 146 ₽,https://www.cian.ru/sale/flat/287796712/,2024,25.0,12.0,4.0,2,14,Новостройка Апартаменты,Монолитный,1 совмещенный,"2,9 м",-1,y
9,"Студия, 25,8 м², 2/45 этаж",,Фили,13 минут пешком,Москва,ЗАО,р-н Дорогомилово,16А/1,,15 990 000 ₽,https://www.cian.ru/sale/flat/286285539/,2026,25.0,9.0,9.0,2,45,Новостройка,Монолитный,1 совмещенный,-1,-1,y
